Trial 8 started at 2025-03-20 00:49:36.451322
Params: {'lr': 0.0016782820833691357, 'num_epochs': 10}

Epoch 1/10, Train Loss: 0.4827, Train Acc: 0.7770, Val Loss: 0.4233, Val Acc: 0.8420
Epoch 2/10, Train Loss: 0.3973, Train Acc: 0.8371, Val Loss: 0.4229, Val Acc: 0.8600
Epoch 3/10, Train Loss: 0.3782, Train Acc: 0.8468, Val Loss: 0.3823, Val Acc: 0.8410
Epoch 4/10, Train Loss: 0.3504, Train Acc: 0.8602, Val Loss: 0.3605, Val Acc: 0.8950
Epoch 5/10, Train Loss: 0.3228, Train Acc: 0.8730, Val Loss: 0.3093, Val Acc: 0.8930
Epoch 6/10, Train Loss: 0.3203, Train Acc: 0.8759, Val Loss: 0.4030, Val Acc: 0.8620
Epoch 7/10, Train Loss: 0.2989, Train Acc: 0.8851, Val Loss: 0.2905, Val Acc: 0.8950
Epoch 8/10, Train Loss: 0.2883, Train Acc: 0.8906, Val Loss: 0.2627, Val Acc: 0.9060
Epoch 9/10, Train Loss: 0.2776, Train Acc: 0.8969, Val Loss: 0.3970, Val Acc: 0.8710
Pruned at Epoch 10
