Trial 0 started at 2025-03-20 00:21:01.741468
Params: {'lr': 0.0015240593417748733, 'num_epochs': 10}

Epoch 1/10, Train Loss: 0.5852, Train Acc: 0.6993, Val Loss: 0.5463, Val Acc: 0.7230
Epoch 2/10, Train Loss: 0.5098, Train Acc: 0.7490, Val Loss: 0.4648, Val Acc: 0.7970
Epoch 3/10, Train Loss: 0.3981, Train Acc: 0.8223, Val Loss: 0.3555, Val Acc: 0.8410
Epoch 4/10, Train Loss: 0.3608, Train Acc: 0.8516, Val Loss: 0.3423, Val Acc: 0.8590
Epoch 5/10, Train Loss: 0.3268, Train Acc: 0.8662, Val Loss: 0.3473, Val Acc: 0.8700
Epoch 6/10, Train Loss: 0.3085, Train Acc: 0.8754, Val Loss: 0.2842, Val Acc: 0.8960
Epoch 7/10, Train Loss: 0.3046, Train Acc: 0.8834, Val Loss: 0.2817, Val Acc: 0.9000
Epoch 8/10, Train Loss: 0.2893, Train Acc: 0.8939, Val Loss: 0.2728, Val Acc: 0.8980
Epoch 9/10, Train Loss: 0.2765, Train Acc: 0.8992, Val Loss: 0.3102, Val Acc: 0.8870
Epoch 10/10, Train Loss: 0.2590, Train Acc: 0.9066, Val Loss: 0.3006, Val Acc: 0.9130
Trial 0 finished - Best Val Acc: 0.913

